skill_id,skill_name,category,subcategory,skill_type,description,aliases,parent_skill,related_skills,difficulty,assessment_available,career_relevance,source,status,prerequisite_skills,taxonomy_version
SKL-0001,Software Development,Software Development,Core Software Engineering,Technical,"The process and practices used to design, build, test, maintain, and improve software systems.",Software development,,Data Structures and Algorithms; Object-Oriented Programming; Software Engineering; Software Testing,Intermediate,Planned,Software Developer; Backend Developer; Full-Stack Developer; SDE,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0002,Data Structures and Algorithms,Software Development,Algorithms & Data Structures,Technical,Techniques for organizing data and solving computational problems efficiently.,DSA,,Software Development; Object-Oriented Programming; Software Engineering; Software Testing,Intermediate,Planned,Software Developer; Backend Developer; Full-Stack Developer; SDE,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0003,Object-Oriented Programming,Software Development,Programming Paradigms,Technical,"A programming paradigm that organizes software around objects, classes, encapsulation, inheritance, and polymorphism.",OOP,,Software Development; Data Structures and Algorithms; Software Engineering; Software Testing,Intermediate,Planned,Software Developer; Backend Developer; Full-Stack Developer; SDE,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0004,Software Engineering,Software Development,Core Software Engineering,Technical,"Systematic methods for designing, developing, testing, deploying, and maintaining reliable software.",Software engineering,,Software Development; Data Structures and Algorithms; Object-Oriented Programming; Software Testing,Intermediate,Planned,Software Developer; Backend Developer; Full-Stack Developer; SDE,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0005,Software Testing,Software Development,Quality Assurance,Technical,"Methods for validating software behavior, correctness, reliability, and quality.",Testing,,Software Development; Data Structures and Algorithms; Object-Oriented Programming; Software Engineering,Intermediate,Planned,Software Developer; Backend Developer; Full-Stack Developer; SDE,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0006,Debugging,Software Development,Development Practices,Technical,"The process of locating, diagnosing, and fixing defects in software.",Debugging,,Software Development; Data Structures and Algorithms; Object-Oriented Programming; Software Engineering,Intermediate,Planned,Software Developer; Backend Developer; Full-Stack Developer; SDE,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0007,Code Review,Software Development,Development Practices,Technical,"Systematically examining source code to identify defects, improve quality, and share engineering knowledge.",Code review,,Software Development; Data Structures and Algorithms; Object-Oriented Programming; Software Engineering,Intermediate,Planned,Software Developer; Backend Developer; Full-Stack Developer; SDE,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0008,Version Control,Software Development,Development Tools,Technical,"Practices and tools for tracking code changes, collaboration, branching, and recovery of earlier versions.",Source control; version control,,Software Development; Data Structures and Algorithms; Object-Oriented Programming; Software Engineering,Intermediate,Planned,Software Developer; Backend Developer; Full-Stack Developer; SDE,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0009,C,Programming Languages,Programming Languages,Technical,C is a programming languages skill used in programming languages and related professional or technical workflows.,C programming,,C++; Java; Python; JavaScript,Intermediate,Planned,Software Developer; Backend Developer; Frontend Developer; AI Engineer; Data Scientist,SkillSync initial taxonomy,Active,,SkillSync v1.1
SKL-0010,C++,Programming Languages,Programming Languages,Technical,C++ is a programming languages skill used in programming languages and related professional or technical workflows.,Cpp; C plus plus,,C; Java; Python; JavaScript,Intermediate,Planned,Software Developer; Backend Developer; Frontend Developer; AI Engineer; Data Scientist,SkillSync initial taxonomy,Active,,SkillSync v1.1
